time,user_id,eeg_1,eeg_2,emg_1,emg_2,blink_l,blink_r,gaze_x,gaze_y,gaze_z,event_label
2026-06-02 09:13:02.404+00,6021713,13.419896364212036,-6.552457809448242,25.942862033843994,23.625925183296204,,,,,,Null
2026-06-02 09:13:02.408+00,6021713,13.415202498435974,-6.549596786499023,25.96619725227356,23.64349365234375,,,,,,Null
2026-06-02 09:13:02.412+00,6021713,13.408049941062927,-6.52720034122467,25.992348790168762,23.67483079433441,,,,,,Null
2026-06-02 09:13:02.416+00,6021713,13.385429978370667,-6.523445248603821,25.967180728912354,23.665308952331543,,,,,,Null
2026-06-02 09:13:02.416+00,6021713,,,,,1,1,0.03619375824928284,0.2312757670879364,-4.162570476531982,Null
2026-06-02 09:13:02.42+00,6021713,13.388291001319885,-6.531357765197754,25.924265384674072,23.632541298866272,,,,,,Null
2026-06-02 09:13:02.424+00,6021713,13.427987694740295,-6.534844636917114,25.948762893676758,23.62963557243347,,,,,,Null
2026-06-02 09:13:02.428+00,6021713,13.442248106002808,-6.525948643684387,25.979384779930115,23.653417825698853,,,,,,Null
2026-06-02 09:13:02.432+00,6021713,13.441219925880432,-6.520494818687439,26.00817382335663,23.665934801101685,,,,,,Null
2026-06-02 09:13:02.436+00,6021713,13.423383235931396,-6.536766886711121,25.99109709262848,23.661240935325623,,,,,,Null
2026-06-02 09:13:02.44+00,6021713,13.421952724456787,-6.53386116027832,25.96566081047058,23.64201843738556,,,,,,Null
2026-06-02 09:13:02.444+00,6021713,13.432547450065613,-6.519243121147156,25.948449969291687,23.618370294570923,,,,,,Null
2026-06-02 09:13:02.444+00,6021713,,,,,1,1,0.03968801349401474,0.23111851513385773,-4.162130832672119,Null
